Название ;Науки
Автомобильные дороги и мосты;технические (строительство и эксплуатация дорог и мостов)
Агропанорама;"технические (сельскохозяйственное машиностроение и энергетика, технический сервис в агропромышленном комплексе);"
Агропанорама;"экономические (агропромышленный комплекc);"
Агропанорама;сельскохозяйственные (зоотехния)
Аграрная экономика;"сельскохозяйственные;"
Аграрная экономика;экономические (агропромышленный комплекс)
Адукацыя і выхаванне;"педагогические;"
Адукацыя і выхаванне;"психологические;"
Адукацыя і выхаванне;философские
Артэфакт;"философские (философская антропология, философия культуры, эстетика); искусствоведение"
Архивы и делопроизводство;исторические (документалистика, документо- и архивоведение, историография, источниковедение и методы исторического исследования)
Архитектура и строительство;"архитектура;"
Архитектура и строительство;технические (геодезия, строительство)
Архитектура и строительные науки;"архитектура; технические (техническая эстетика и дизайн, строительство; деревопереработка)"
Банкаўскі веснік;экономические
Беларуская думка *;"исторические;"
Беларуская думка *;"политические;"
Беларуская думка *;"филологические;"
Беларуская думка *;"философские;"
Беларуская думка *;"экономические;"
Беларуская думка *;социологические
Беларуская лінгвістыка;филологические (языкознание)
Беларуская мова і літаратура;"педагогические (методика обучения белорусскому языку и литературе); филологические"
Беларускі гістарычны часопіс;"исторические;"
Беларускі гістарычны часопіс;"искусствоведение; культурология;"
Беларускі гістарычны часопіс;юридические
Белая Вежа;"исторические;"
Белая Вежа;филологические (литературоведение)
Белорусский экономический журнал;экономические
Біялогія і хімія;педагогические
Бухгалтерский учет и анализ;экономические (бухгалтерский учет и статистика)
Веснік адукацыі;педагогические
Веснік Беларускага дзяржаўнага ўніверсітэта культуры і мастацтваў;"искусствоведение;"
Веснік Беларускага дзяржаўнага ўніверсітэта культуры і мастацтваў;"культурология;"
Веснік Беларускага дзяржаўнага ўніверсітэта культуры і мастацтваў;"педагогические (вопросы социально-культурной деятельности, библиотековедения и книговедения; теории и методики профессионального образования)"
Веснік Беларускага дзяржаўнага эканамічнага ўніверсітэта ;"политические;"
Веснік Беларускага дзяржаўнага эканамічнага ўніверсітэта ;"социологические;"
Веснік Беларускага дзяржаўнага эканамічнага ўніверсітэта ;"технические (товароведение экспертиза и безопасность непродовольственных товаров и сырьевых ресурсов);"
Веснік Беларускага дзяржаўнага эканамічнага ўніверсітэта ;"философские;"
Веснік Беларускага дзяржаўнага эканамічнага ўніверсітэта ;"экономические;"
Веснік Беларускага дзяржаўнага эканамічнага ўніверсітэта ;юридические
Веснік Брэсцкага ўніверсітэта. Серыя 1.Філасофія. Паліталогія. Сацыялогія;"философские;"
Веснік Брэсцкага ўніверсітэта. Серыя 1.Філасофія. Паліталогія. Сацыялогія;"политические;"
Веснік Брэсцкага ўніверсітэта. Серыя 1.Філасофія. Паліталогія. Сацыялогія;социологические
Веснік Брэсцкага ўніверсітэта. Серыя 2. Гісторыя. Эканоміка. Права;"исторические;"
Веснік Брэсцкага ўніверсітэта. Серыя 2. Гісторыя. Эканоміка. Права;"экономические;"
Веснік Брэсцкага ўніверсітэта. Серыя 2. Гісторыя. Эканоміка. Права;юридические
Веснік Брэсцкага ўніверсітэта. Серия 3. Філалогія. Педагогіка. Псіхалогія;"педагогические;"
Веснік Брэсцкага ўніверсітэта. Серия 3. Філалогія. Педагогіка. Псіхалогія;"психологические;"
Веснік Брэсцкага ўніверсітэта. Серия 3. Філалогія. Педагогіка. Псіхалогія;филологические
Веснік Брэсцкага ўніверсітэта.Серия 4. Фізіка.Матэматыка;физико-математические–(физика)
Веснік Брэсцкага ўніверсітэта. Серыя 5. Хімія. Біялогія. Навукі аб Зямлі;"биологические;"
Веснік Брэсцкага ўніверсітэта. Серыя 5. Хімія. Біялогія. Навукі аб Зямлі;"географические;"
Веснік Брэсцкага ўніверсітэта. Серыя 5. Хімія. Біялогія. Навукі аб Зямлі;"геолого-минералогические;"
Веснік Віцебскага дзяржаўнага ўніверсітэта;биологические, педагогические,
Веснік Віцебскага дзяржаўнага ўніверсітэта;физико-математические (математика)
Веснік Віцебскага дзяржаўнага ўніверсітэта;"исторические;"
Веснік Гродзенскага дзяржаўнага ўніверсітэта імя Янкі Купалы. Серыя 1. Гісторыя i археалогiя. Філасофія. Паліталогія;"политические;"
Веснік Гродзенскага дзяржаўнага ўніверсітэта імя Янкі Купалы. Серыя 1. Гісторыя i археалогiя. Філасофія. Паліталогія;философские
Веснік Гродзенскага дзяржаўнага ўніверсітэта імя Янкі Купалы. Серыя 2. Матэматыка. Фізіка. Інфарматыка, вылічальная тэхніка і кiраванне.;"технические (информатика, вычислительная техника и управление);"
Веснік Гродзенскага дзяржаўнага ўніверсітэта імя Янкі Купалы. Серыя 2. Матэматыка. Фізіка. Інфарматыка, вылічальная тэхніка і кiраванне.;физико-математические
Веснік Гродзенскага дзяржаўнага ўніверсітэта імя Янкі Купалы. Серыя 3. Філалогія. Педагогіка. Псіхалогія;"педагогические;"
Веснік Гродзенскага дзяржаўнага ўніверсітэта імя Янкі Купалы. Серыя 3. Філалогія. Педагогіка. Псіхалогія;"психологические;"
Веснік Гродзенскага дзяржаўнага ўніверсітэта імя Янкі Купалы. Серыя 3. Філалогія. Педагогіка. Псіхалогія;филологические
Веснік Гродзенскага дзяржаўнагаўніверсітэта імя Янкі Купалы. Серыя 4. Правазнаўства;"юридические;"
Веснік Гродзенскага дзяржаўнагаўніверсітэта імя Янкі Купалы. Серыя 5. Эканоміка. Сацыялогія. Біялогія.;"биологические;"
Веснік Гродзенскага дзяржаўнагаўніверсітэта імя Янкі Купалы. Серыя 5. Эканоміка. Сацыялогія. Біялогія.;"социологические;"
Веснік Гродзенскага дзяржаўнагаўніверсітэта імя Янкі Купалы. Серыя 5. Эканоміка. Сацыялогія. Біялогія.;экономические
Веснік Гродзенскага дзяржаўнага. ўніверсітэта імя Янкі Купалы. Серыя 6. Тэхніка.;технические
Веснік Гродзенскага дзяржаўнага. ўніверсітэта імя Янкі Купалы. Серыя 6. Тэхніка.;
Веснік Канстытуцыйнага Суда Рэспублікі Беларусь;юридические
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшова. Серыя А. Гуманітарныя навукі:гісторыя, філасофія, філалогія;"исторические;"
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшова. Серыя А. Гуманітарныя навукі:гісторыя, філасофія, філалогія;"филологические;"
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшова. Серыя А. Гуманітарныя навукі:гісторыя, філасофія, філалогія;философские
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшова. Серыя В. Прыродазнаўчыя навукі: матэматыка, фізіка, біялогія;"биологические;"
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшова. Серыя В. Прыродазнаўчыя навукі: матэматыка, фізіка, біялогія;"физико-математические (математика, физика конденсированного состояния, твердотельная электроника);"
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшова. Серыя С. Псіхолага-педагагічныя навукі: педагогіка, псіхалогія;"педагогические;"
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшова. Серыя С. Псіхолага-педагагічныя навукі: педагогіка, псіхалогія;психологические
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшов. Серыя D. Эканомка, сацыялогія, права;"социологические;"
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшов. Серыя D. Эканомка, сацыялогія, права;"экономические;"
Веснік Магілёўскага дзяржаўнага ўніверсітэта імя А.А.Куляшов. Серыя D. Эканомка, сацыялогія, права;юридические
Веснік Мазырскага дзяржаўнага педагагічнага ўніверсітэта имя І.П.Шамякіна;"биологические;"
Веснік Мазырскага дзяржаўнага педагагічнага ўніверсітэта имя І.П.Шамякіна;"педагогические;"
Веснік Мазырскага дзяржаўнага педагагічнага ўніверсітэта имя І.П.Шамякіна;филологические
Веснік Палескага дзяржаўнага ўніверсітэта. Серыя грамадскіх і гуманітарных навук;"исторические;"
Веснік Палескага дзяржаўнага ўніверсітэта. Серыя грамадскіх і гуманітарных навук;"педагогические;"
Веснік Палескага дзяржаўнага ўніверсітэта. Серыя грамадскіх і гуманітарных навук;философские
Веснік Палескага дзяржаўнага ўніверсітэта. Серыя прыродазнаўчых навук;"биологические (общая биология);"
Веснік Палескага дзяржаўнага ўніверсітэта. Серыя прыродазнаўчых навук;сельскохозяйственные (рыбное хозяйство и аквакультура)
Веснік сувязі;"технические (информатика, вычислительная техника и управление; связь)"
Веснік сувязі;экономические (связь)
Вести Института современных знаний;"искусствоведение;"
Вести Института современных знаний;"культурология;"
