Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
24,"СП Петухова","Информационные технологии основа модернизации интеллектуального ресурса России",2011,"Проблемы прогнозирования","cyberleninka.ru","https://cyberleninka.ru/article/n/14848215","https://scholar.google.com/scholar?cites=15955002775790650608&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-05-12 14:16:17","HTML","","","",,,,,24,2.40,24,1,10,"… Модернизация российского научно-технического комплекса как ресурса модернизации страны в … Процесс модернизации национальной научной системы предполагает также развитие системы … Стартовали с мейнфреймов: в России была лучшая шахматная …"
3,"АА Балаян","Особенности и перспективы модернизации в Индии: стратегический выбор в условиях изменяющегося мира",2011,"","psy.hse.ru","https://psy.hse.ru/data/2012/03/16/1268999053/M_22_11.pdf","https://scholar.google.com/scholar?cites=1280247618832905634&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-05-12 14:16:17","PDF","","","",,,,,3,0.30,3,1,10,"… 14 Нерешенность этих проблем отрицательно сказалась на социально- политической и экономической модернизации Индии и стала … Рао, который провел в 1992 году решительные экономические реформы, призванные модернизировать производственную и …"
1,"МА Будниченко, ВЮ Кунгуров","Формирование ИТ-инфраструктуры судостроительного предприятия в ходе модернизации",2018,"Морские интеллектуальные …","elibrary.ru","https://elibrary.ru/item.asp?id=36997775","https://scholar.google.com/scholar?cites=15558092332424559838&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-05-12 14:16:17","","","","",,,,,1,0.33,1,2,3,"… на постройке атомных подводных лодок, ремонте и модернизации крупных надводных … при действующем производстве не позволяют проводить ее полную модернизацию или замену … Кроме того, модернизация какой-либо одной части системы с промышленным …"
1,"ВВ Богатырев, ЛБ Таренко","РАСПРЕДЕЛЕННЫЕ БАЗЫ ДАННЫХ И ИХ ПРИМЕНЕНИЕ В КРУПНЫХ ПРОЕКТАХ",2016,"… , ЛИЧНОСТЬ: МОДЕРНИЗАЦИЯ …","elibrary.ru","https://elibrary.ru/item.asp?id=27010907","https://scholar.google.com/scholar?cites=1068226006573321683&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-05-12 14:16:17","","","","",,,,,1,0.20,1,2,5,"… ОБЩЕСТВО, ГОСУДАРСТВО, ЛИЧНОСТЬ: МОДЕРНИЗАЦИЯ СИСТЕМЫ ВЗАИМООТНОШЕНИЙ В СОВРЕМЕННЫХ УСЛОВИЯХ Казань … ХХ столетия, базы данных размещались на мейнфреймах, доступ к … от раннего этапа развития роль мейнфреймов …"
0,"МА Солдатов, АД Смирнов","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ КАК ОСНОВА СЕТЕВОЙ ИНФРАСТРУКТУРЫ ПРЕДПРИЯТИЯ",2018,"Актуальные проблемыи перспективы …","elibrary.ru","https://elibrary.ru/item.asp?id=36518642","",5,"2021-05-12 14:16:17","","","","",,,,,0,0.00,0,2,3,"… время, предотвращая перебои в обслуживании из-за перебоев в электроснабжении, сбоев оборудования и модернизации системы … Компьютерные программы, а также во многих случаях дата-центры, мейнфреймы, сервера или просто ПК, которые обрабатывают …"
0,"ОР ХОДАСЕВИЧ, ВА ВИШНЯКОВ, АО ХОДАСЕВИЧ","АНАЛИЗ СЕРВЕРНЫХ СИСТЕМ ДЛЯ ОБЛАЧНЫХ ТЕХНОЛОГИЙ",2015,"РЕДКОЛЛЕГИЯ","bsac.by","http://www.bsac.by/sites/default/files/content/landing/2017/70/files/08-29/zhurnalno1posl-a4.pdf#page=35","",6,"2021-05-12 14:16:17","PDF","","","",,,,,0,0.00,0,3,6,"… Мейнфрейм–это главный компьютер вычислительного центра с большим объемом внутренней и внешней памяти … Многие аналитики заговорили о полном вымирании мейнфреймов, о переходе от централизованной обработки … Затраты на такую модернизацию …"
4,"АН Терехов, Л Эрлих, АА Терехов","Перспективы реинжиниринга",1999,"Компьютер-Пресс","math.spbu.ru","https://www.math.spbu.ru/user/ant/all_articles/061_TerekhovErlikhTerekhov_Reengineering.pdf","https://scholar.google.com/scholar?cites=13590985036826455867&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-05-12 14:16:17","PDF","","","",,,,,4,0.18,1,3,22,"… Их приходится модернизировать или даже пере писывать заново … если в системе в качестве хранилища данных использует ся мэйнфрейм, можно организовать … Поводом для модернизации послужила покупка фирмой нескольких более мелких медицинских фирм …"
2,"АД Калюжный, ГВ Табунщик…","Средства передачи информации в терминальных системах",2011,"Системи обробки …","irbis-nbuv.gov.ua","http://www.irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=2&I21DBN=UJRN&P21DBN=UJRN&IMAGE_FILE_DOWNLOAD=1&Image_file_name=PDF/soi_2011_3_12.pdf","https://scholar.google.com/scholar?cites=1145520325226529912&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-05-12 14:16:17","PDF","","","",,,,,2,0.20,1,3,10,"… Модернизация всех рабочих мест в компании сводится к модернизации одного или … Если с ростом числа клиентов становится недостаточно мощности сервера, можно произвести его модернизацию или установить дополнительный сервер, создав …"
0,"НТ Лабынцев, ОВ Чухрова","РАЗВИТИЕ БУХГАЛТЕРСКОГО УЧЕТА В УСЛОВИЯХ ЦИФРОВОЙ ЭКОНОМИКИ",2020,"Вестник Ростовского …","cyberleninka.ru","https://cyberleninka.ru/article/n/razvitie-buhgalterskogo-ucheta-v-usloviyah-tsifrovoy-ekonomiki","",9,"2021-05-12 14:16:17","HTML","","","",,,,,0,0.00,0,2,1,"… информационных и компьютерных технологий, математического моделирования, модернизацией систем управления … ИТ-модернизация бухгалтерского учета обеспечит новые, более современные … Ведь конечная цель ИТ-модернизации не цифровизация учета …"
3,"ДИ Кислицын","Инструментальные средства информационных систем. Внутреннее устройство ЭВМ",2011,"учебное пособие/ДИ Кислицын","bibl.nngasu.ru","http://www.bibl.nngasu.ru/electronicresources/uch-metod/programming/842947.pdf","https://scholar.google.com/scholar?cites=950850098544371572&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-05-12 14:16:17","PDF","","","",,,,,3,0.30,3,1,10,"… Большие компьютеры за рубежом часто называют мэйнфреймами. Мэйнфрейм (mainframe) – это вычислительная система, изначально … До сегодняшнего дня бесспорным лидером в производстве мейнфреймов является компания IBM …"
